Ability,Skill,Talent,uh-bi-luh-tee,
Above,Overhead,High up,uh-buhv,
Accurate,Correct,Precise,a-kyu-ruht,
Active ,Energitic,Vital,ak-tiv,
Adamant,Firm,Rigid,a-duh-muhnt,
Afraid,Frightened,Scared,uh-frayd,
Aggressive,Pushy,Assertive,uh-greh-suhv,
Apparent,Evident,Obvious,uh-pa-ruhnt,
Arrive,Reach,Appear,uh-rive,
Ask,Question,Query,aask,
Backbone,Spine,Rachis,bak-bone,
Bashful,Timid,Shy,bash-ful,
Beautiful,Attractive,Pretty,byoo-tuh-fl,
Believe,Trust,Accept,bi-leev,
Best,Finest,Top,best,
Blend,Combine,Mix,blend,
Bottom,Base,Foundation,baw-tm,
Brave,Courageous,Bold,brayv,
Broad,Wide,Large,brawd,
Buy,Purchase,Obtain,bai,
Care,Concern,Sympathy,kair,
Charming,Delightful,Pleasing,chaam-uhng,
Close,Shut,Near,klos,
Complete,Conclude,Total,kuhm-pleet,
Condense,Concentrate,Liquefy,kuhn-dens,
Conflict,Struggle,Dispute,kuhn-flikt,
Confuse,Muddle,Unclear,kuhn-fyooz,
Compress,Squeeze,Squash,kuhm-pres,
Complex,Complicated,Network,kom-pleks,
Comprehend,Understand,Grasp,kawm-pruh-hend,
Damage,Impair,Hurt,da-muhj,
Dangerous,Unsafe,Threatening,dayn-juh-ruhs,
Daybreak,Dawn,Sunrise,day-brayk,
Defective,Faulty,Deficient,duh-fekt-uhv,
Defy,Resist,Go against,duh-fai,
Different,Distinct,Unalike,di-frint,
Difficult,Hard,Tough,di-fi-klt,
Divide,Seprate,Diverge,duh-vide,
Dreadful,Terrible,Awful,dred-ful,
Dubious,Doubtful,Uncertain,doo-bee-uhs,
Early,Premature,Too soon,uh-lee,
Easy ,Simple,Child's play,ee-zee,
Eccentric,Peculiar,Weird,uhk-sen-truhk,
Encourage,Promote,Cheer,uhn-kuh-ruhj,
Enough,Sufficient,Adequate,i-nuhf,
Entire,Whole,Full,uhn-tai-uh,
Essential,Fundamental,Necessary,uh-sen-shl,
Exactly,Precisely,Absolutely,ig-zakt-lee,
Excite,Arouse,Delight,uhk-site,
Extravagant,Extreme,Exessive,uhk-stra-vuh-gnt,
Fabulous,Marvellous,Remarkable,fa-byoo-luhs,
Fast,Rapid,Swift,faast,
Fat,Chubby,Plump,fat,
Feasible,Possible,Achievable,fee-zuh-bl,
Ferrocious,Fierce,Cruel,fuh-roh-shuhs,
Fluid,Liquid,Solution,floo-uhd,
Foe,Enemy,Rival,fow,
Forgive,Pardon,Excuse,fuh-giv,
Former,Previous,Late,faw-muh,
Fraction,Part,Fragment,frak-shn,
Gain,Acquire,Obtain,gayn,
Gallant,Chivalrous,Audacious,guh-lant,
Gather,Collect,Meet,ga-dhuh,
Generous,Giving,Liberal,jeh-nuh-ruhs,
Genius,Brilliance,Cleverness,jee-nee-uhs,
Gentle,Tender,Kind,jen-tl,
Gigantic,Immerse,Huge,jai-gan-tik,
Give,Donate,Offer,giv,
Gratitude,Thankfulness,Credit,gra-tuh-tyood,
Great,Outstanding,Special,grayt,
Hard,Firm,Stony,haad,
Healthy,Strong,Fit,hel-dhee,
Hesitate,Pause,Delay,heh-zuh-tayt,
Help,Aid,Assist,help,
High,Elevated,Lofty,hai,
Hold,Grasp,Clasp,holed,
Honest,Truthful,Sincere,aw-nuhst,
Huge,Vast,Enormous,hyooj,
Humid ,Wet,Moist,hyoo-muhd,
Humble,Modest,Meek,hum-buhl,
Illicit,Illegal,Unlawful,il-luh-suht,
Improvise,Manage,Unplanned,im-pruh-vize,
Indigent,Poor,Penniless,in-duh-jnt,
Inertia,Inactivity,Dullness,i-nuh-shee-aa,
Infallible,Foolproof,Unerring,uhn-fa-luh-bl,
Inquistion,Inquiry,Quizzing,uhng-kvi-zuh-tion,
Incisive,Keen,Acute,uhn-sise-uhv,
Inculcate,Instill,Fix,in-kuhl-kayt,
Instructable,Enigmatic,Being taught,uhn-struhkt-uh-bl,
Impute,Attribute,Assign,uhm-pyoot,
Jaded,Fed up,Dulled,jayd-uhd,
Jealous,Envious,Covetous,ja-luhs,
Jig,Dance,Bounce,jig,
Joy,Delight,Triumph,joy,
Jubilant,Overjoyed,Joyful,joo-buh-luhnt,
Judicial,Legal,Official,joo-di-shl,
Justify,Validate,Explain,juh-sti-fai,
Juncture,Stage,Time,juhngk-chuh,
Jubilee,Anniversary,Gala,joo-buh-lee,
Juxtapose,Put together,Mix,jukh-stuh-poze,
Keen,Eager,Impatient,keen,
Keep,Hold,Retain,keep,
Kill,Murder,Murder,kil,
Kin,Relative,Clan,kin,
Kind,Helpful,Genre,kined,
Kindergarden,Nursery,School for kids,kin-duh-gaa-dn,
Knowledge,Awareness,Learn,naw-luhj,
Knit,Fasten,Unite,nit,
Knell,Sound,Ring,nel,
Kudos,Applause,Praise,kyoo-daws,
Lacking,Missing,Unavailable,lak-uhng,
Large ,Big,Huge,laaj,
Last ,Final,End,laast,
Leading,Main,Cheif,leed-ing,
Ligament,Tendon,Connective tissue,li-guh-muhnt,
Lineage,Ancestry,Family,lin-ee-ij,
Litter,Waste,Debris,li-tuh,
Logical,Sensible,Reasoning,law-juhk-uhl,
Lure,Attract,Tempt,loo-uh,
Luxurious,Extravagant,Rich,luhg-zhoo-ree-uhs,
Mandala,Figure,Pattern,man-daa-luh,
Maneuver,Tactic,Work,muh-noo-vuh,
Mentor,Teacher,Master,men-taw,
Mesmerize,Captivate,Enthral,mes-mer-ize,
Metabolism,Reactions,chemical process,meh-taa-boh-li-zm,
Militate,Opposite,Resist,mi-luh-tayt,
Monolithic,Monumental,Rigid,maw-nuh-lith-uhk,
Montage,Mixture,editing,mawn-taazh,
Mirth,Laughter,Cheer,muhth,
Muse,Consider,Stimulus,myooz,
Naked,Bare,Nude,nay-kuhd,
Necessary,Essential,Required,neh-suh-suh-ree,
Neutral,Impartial,Unbiased,nyoo-truhl,
New,Modern,Fresh,nu,
Niche,Role,Function,nee-chay,
Nice,Pleasing,Enjoyable,nise,
Nobility,Aristocracy,Virtue,noh-bil-uh-tee,
Noted,Famous,Well known,note-uhd,
Noon,Midday,Mid Time,noon,
Nugatory,Worthless,Useless,nyoo-guh-tuh-ree,
Obdurate,Stubborn,Obstinate,awb-doo-ruht,
Obligatory,Compulsory,Mandotory,uh-bli-guht-uh-ree,
Oblique,Indirect,Inexplict,aw-bluhk,
Observe,Examine,Notice,uhb-zuhv,
Odd,Peculiar,Strange,awd,
Opaque,Solid,Unclear,oh-payk,
Opponent,Enemy,Foe,aw-poh-nent,
Organic,Biological,Natural,aw-ga-nuhk,
Ornament,Decoration,Adornment,aw-nuh-muhnt,
Outstanding,Distinguished,Marvelous,awt-stan-duhng,
Passive,Yielding,Unassertive,pa-suhv,
Patience,Perseverance,Persistence,pay-shns,
Perfect,Accurate,Exact,pur-fikt,
Plenty,Abundant,Many,plen-tee,
Pliable,Compliant,Flexible,plai-uh-bl,
Precious,Prized,Valuable,preh-shuhs,
Premature,Hasty,Early,pree-muhch-yoh,
Prevent,Hinder,Stop,pruh-vent,
Profit,Benefit,Gain,praw-fit,
Prompt,Punctual,In good time,prawmt,
Quadrant,Fourth,Quater-circle,kvaw-druhnt,
Quantum,Amount,Total,kvawn-tm,
Queasy,Sick,Bilious,kvee-zee,
Queen,Royalty,Monarch,kveen,
Queries,Interrogation,Question,kway-reez,
Quests,Search,Pursuit,kvests,
Quiet,Silent,Peaceful,kvite,
Quick,Fast,Swift,kvik,
Quorum,Assemblage,Attendance,kvaw-ruhm,
Quoted,Repeat,Recite,koh-tuhd,
Radiant,Joyful,Elated,ray-dee-uhnt,
Raze,Ruin,Wreck,rayz,
Reciprocal,Inverse,Inversely exchanged,reh-suh-pruh-kl,
Rectify,Put right,Correct,rek-tuh-fai,
Regime,Rule,Regin,reh-zheem,
Renovate,Modernize,Rstore,reh-nuh-vayt,
Remedial,Curative,Correction of fault,ruh-mee-dee-uhl,
Robust,Strong,Powerful,roh-buhst,
Roil,Agitate,Annoy,royl,
Ruddy,Glowing,Complete,ruh-dee,
Sanatorium,Clinic,Sickbay,sa-nuh-taw-ree-uhm,
Sarong,Mini skirt,Cloth around waist,suh-rawng,
Scam,Swindle,Twist,skam,
Scorn,Disrespect,Rudeness,skawn,
Segment,Slice,Piece,seg-muhnt,
Seminary,Institution,Academy,seh-muh-nuh-ree,
Sensibility,Awareness,Feeling,sens-uh-bil-uh-tee,
Septic,Diseased,Infected,sep-tuhk,
Serendipity,Awareness,Chance,seh-ruhn-di-puh-tee,
Sedate,Cool,Calm,suh-dayt,
Taboo,Unthinkable,Ban,ta-boo,
Tactile,Perceptible,Percieved,tak-tile,
Therapeutic,Remedial,Curing,theh-ruh-pyoo-tuhk,
Thrive,Prosper,Flourish,thrive,
Titan,Reputation,Strength,tai-tn,
Telepathy,Sixth sense,Psychometry,tuh-leh-puh-thee,
Taxidermy,Artistry,Art of animal body,tak-suh-duh-mee,
Torpid,Lazy,Slow,taw-puhd,
Tranquil,Restful,Peaceful,trang-kvl,
Trundle,Push,Thrust,truhn-dl,
Unbiased,Impartial,Neutral,uhn-bai-uhst,
Undulate,Wavy,Surge,un-juh-layt,
Unearth,Locate,Excavte,uhn-uhth,
Unease,Disquiet,Anxiety,uhn-eez,
Untold,Boundless,Measureless,uhn-toled,
Upchuck,Sick,Illness,up-chuck,
